id,case_title,case_type,case_number,year,division,court_name,pdf_url,translation_url,filename,upload_date,scraped_at
SC_HCD_0105,Civil Revision 72/2012,Civil Revision,72/2012,2012,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/431838_C.R.No.72of2012Discharged.pdf,https://supremecourt.gov.bd/translation/process.php?file=431838_C.R.No.72of2012Discharged.pdf,431838_C.R.No.72of2012Discharged.pdf,,2026-08-22T14:57:45.781329
SC_HCD_0106,First Misc Appeal 45/1999,First Misc Appeal,45/1999,1999,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/16345_First_Miscellaneous_Appeal45of1999Disposed_of_18.05.2026.pdf,https://supremecourt.gov.bd/translation/process.php?file=16345_First_Miscellaneous_Appeal45of1999Disposed_of_18.05.2026.pdf,16345_First_Miscellaneous_Appeal45of1999Disposed_of_18.05.2026.pdf,,2026-08-22T14:57:45.781379
SC_HCD_0107,Civil Revision (TN) 9634/2007(Civil Revision (TN) 9634/2007),Civil Revision (TN),9634/2007,2007,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1_C.R.No.5634of2007Discharged.pdf,https://supremecourt.gov.bd/translation/process.php?file=1_C.R.No.5634of2007Discharged.pdf,1_C.R.No.5634of2007Discharged.pdf,,2026-08-22T14:57:45.781435
SC_HCD_0108,Writ Petition 12714/2025,Writ Petition,12714/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3345961_WPNo.12714-2025Discharged.pdf,https://supremecourt.gov.bd/translation/process.php?file=3345961_WPNo.12714-2025Discharged.pdf,3345961_WPNo.12714-2025Discharged.pdf,,2026-08-22T14:57:45.781487
SC_HCD_0109,First Misc Appeal 157/2011,First Misc Appeal,157/2011,2011,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/349825_First_Misc.Appeal157of2011allowed_dt.16.07.2026.pdf,https://supremecourt.gov.bd/translation/process.php?file=349825_First_Misc.Appeal157of2011allowed_dt.16.07.2026.pdf,349825_First_Misc.Appeal157of2011allowed_dt.16.07.2026.pdf,,2026-08-22T14:57:45.781534
SC_HCD_0110,Civil Revision 431/2008,Civil Revision,431/2008,2008,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/26038_Civil_Revision_431of2008discharged_dt.09.07.2026.pdf,https://supremecourt.gov.bd/translation/process.php?file=26038_Civil_Revision_431of2008discharged_dt.09.07.2026.pdf,26038_Civil_Revision_431of2008discharged_dt.09.07.2026.pdf,,2026-08-22T14:57:45.781582
SC_HCD_0111,Civil Revision 3916/2019,Civil Revision,3916/2019,2019,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1887986_C_R_3916_2019.pdf,https://supremecourt.gov.bd/translation/process.php?file=1887986_C_R_3916_2019.pdf,1887986_C_R_3916_2019.pdf,,2026-08-22T14:57:45.781628
SC_HCD_0112,Civil Revision 834/2016,Civil Revision,834/2016,2016,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/970364_C.R._No_834_of_2016.pdf,https://supremecourt.gov.bd/translation/process.php?file=970364_C.R._No_834_of_2016.pdf,970364_C.R._No_834_of_2016.pdf,,2026-08-22T14:57:45.781673
SC_HCD_0113,First Misc Appeal 385/2025,First Misc Appeal,385/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3380340_FMANo.385of2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3380340_FMANo.385of2025.pdf,3380340_FMANo.385of2025.pdf,,2026-08-22T14:57:45.781720
SC_HCD_0114,Civil Revision 716/2020,Civil Revision,716/2020,2020,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1892453_C.R._No._716_of_2020.pdf,https://supremecourt.gov.bd/translation/process.php?file=1892453_C.R._No._716_of_2020.pdf,1892453_C.R._No._716_of_2020.pdf,,2026-08-22T14:57:45.781764
